geoid,name,B25077001,"B25077001, Error"
14000US21111010315,"Census Tract 103.15, Jefferson, KY",560900,62168
14000US21111010316,"Census Tract 103.16, Jefferson, KY",402900,27778
14000US21111010317,"Census Tract 103.17, Jefferson, KY",373400,13714
14000US21111010318,"Census Tract 103.18, Jefferson, KY",346700,12946
14000US21111010319,"Census Tract 103.19, Jefferson, KY",235000,12348
14000US21111010320,"Census Tract 103.20, Jefferson, KY",236600,13377
14000US21111010321,"Census Tract 103.21, Jefferson, KY",332100,16043
14000US21111010322,"Census Tract 103.22, Jefferson, KY",470800,25602
14000US21111010323,"Census Tract 103.23, Jefferson, KY",219500,91656
14000US21111010324,"Census Tract 103.24, Jefferson, KY",194800,8716
14000US21111010403,"Census Tract 104.03, Jefferson, KY",284700,24762
14000US21111010405,"Census Tract 104.05, Jefferson, KY",256100,44077
14000US21111010406,"Census Tract 104.06, Jefferson, KY",380500,26037
14000US21111010407,"Census Tract 104.07, Jefferson, KY",246200,33815
14000US21111010408,"Census Tract 104.08, Jefferson, KY",236700,27609
14000US21111010500,"Census Tract 105, Jefferson, KY",345000,28411
14000US21111010601,"Census Tract 106.01, Jefferson, KY",318600,27020
14000US21111010602,"Census Tract 106.02, Jefferson, KY",275100,11035
14000US21111010701,"Census Tract 107.01, Jefferson, KY",441200,73592
14000US21111010702,"Census Tract 107.02, Jefferson, KY",253000,13542
14000US21111010706,"Census Tract 107.06, Jefferson, KY",289600,10738
14000US21111010707,"Census Tract 107.07, Jefferson, KY",263300,37400
14000US21111010708,"Census Tract 107.08, Jefferson, KY",253500,46940
14000US21111010800,"Census Tract 108, Jefferson, KY",194100,12952
14000US21111010901,"Census Tract 109.01, Jefferson, KY",154000,14686
14000US21111010902,"Census Tract 109.02, Jefferson, KY",174900,6650
14000US21111011003,"Census Tract 110.03, Jefferson, KY",166800,9857
14000US21111011005,"Census Tract 110.05, Jefferson, KY",133900,10373
14000US21111011006,"Census Tract 110.06, Jefferson, KY",138500,19927
14000US21111011007,"Census Tract 110.07, Jefferson, KY",125400,23538
14000US21111011008,"Census Tract 110.08, Jefferson, KY",109300,9619
14000US21111011009,"Census Tract 110.09, Jefferson, KY",196800,25449
14000US21111011109,"Census Tract 111.09, Jefferson, KY",199700,8703
14000US21111011110,"Census Tract 111.10, Jefferson, KY",177500,24480
14000US21111011111,"Census Tract 111.11, Jefferson, KY",225600,7656
14000US21111011112,"Census Tract 111.12, Jefferson, KY",208100,10654
14000US21111011113,"Census Tract 111.13, Jefferson, KY",212200,17851
14000US21111011114,"Census Tract 111.14, Jefferson, KY",250400,18432
14000US21111011115,"Census Tract 111.15, Jefferson, KY",178400,12693
14000US21111011116,"Census Tract 111.16, Jefferson, KY",222600,36262
14000US21111011117,"Census Tract 111.17, Jefferson, KY",157500,9864
14000US21111011118,"Census Tract 111.18, Jefferson, KY",196000,24934
14000US21111011201,"Census Tract 112.01, Jefferson, KY",165400,53209
14000US21111011202,"Census Tract 112.02, Jefferson, KY",135500,13394
14000US21111011301,"Census Tract 113.01, Jefferson, KY",136200,20274
14000US21111011302,"Census Tract 113.02, Jefferson, KY",85300,9466
14000US21111011403,"Census Tract 114.03, Jefferson, KY",105600,4913
14000US21111011404,"Census Tract 114.04, Jefferson, KY",109700,10580
14000US21111011405,"Census Tract 114.05, Jefferson, KY",134000,17592
14000US21111011406,"Census Tract 114.06, Jefferson, KY",134600,10409
14000US21111011506,"Census Tract 115.06, Jefferson, KY",173500,13316
14000US21111011508,"Census Tract 115.08, Jefferson, KY",194700,10554
14000US21111011509,"Census Tract 115.09, Jefferson, KY",151000,15486
14000US21111011513,"Census Tract 115.13, Jefferson, KY",157800,6535
14000US21111011514,"Census Tract 115.14, Jefferson, KY",193100,22830
14000US21111011515,"Census Tract 115.15, Jefferson, KY",168000,5248
14000US21111011516,"Census Tract 115.16, Jefferson, KY",164200,12089
14000US21111011517,"Census Tract 115.17, Jefferson, KY",211400,14914
14000US21111011518,"Census Tract 115.18, Jefferson, KY",312900,14097
14000US21111011519,"Census Tract 115.19, Jefferson, KY",234200,19005
14000US21111011520,"Census Tract 115.20, Jefferson, KY",360300,11893
14000US21111011521,"Census Tract 115.21, Jefferson, KY",170800,13719
14000US21111011522,"Census Tract 115.22, Jefferson, KY",183000,18117
14000US21111011603,"Census Tract 116.03, Jefferson, KY",323200,18042
14000US21111011604,"Census Tract 116.04, Jefferson, KY",401000,72323
14000US21111011605,"Census Tract 116.05, Jefferson, KY",334500,25839
14000US21111011606,"Census Tract 116.06, Jefferson, KY",565000,77631
14000US21111011706,"Census Tract 117.06, Jefferson, KY",177700,13010
14000US21111011707,"Census Tract 117.07, Jefferson, KY",172200,18583
14000US21111011708,"Census Tract 117.08, Jefferson, KY",230100,7753
14000US21111011709,"Census Tract 117.09, Jefferson, KY",286100,16729
14000US21111011710,"Census Tract 117.10, Jefferson, KY",157600,9224
14000US21111011711,"Census Tract 117.11, Jefferson, KY",170700,11053
14000US21111011712,"Census Tract 117.12, Jefferson, KY",138400,6627
14000US21111011713,"Census Tract 117.13, Jefferson, KY",111700,7381
14000US21111011800,"Census Tract 118, Jefferson, KY",88900,8179
14000US21111011901,"Census Tract 119.01, Jefferson, KY",12100,1942
14000US21111011904,"Census Tract 119.04, Jefferson, KY",114400,3788
14000US21111011906,"Census Tract 119.06, Jefferson, KY",153300,20107
14000US21111011907,"Census Tract 119.07, Jefferson, KY",157500,5895
14000US21111011908,"Census Tract 119.08, Jefferson, KY",116800,12776
14000US21111011909,"Census Tract 119.09, Jefferson, KY",134000,13691
14000US21111012001,"Census Tract 120.01, Jefferson, KY",128600,10349
14000US21111012003,"Census Tract 120.03, Jefferson, KY",174700,32910
14000US21111012004,"Census Tract 120.04, Jefferson, KY",89200,11343
14000US21111012005,"Census Tract 120.05, Jefferson, KY",116800,45525
14000US21111012103,"Census Tract 121.03, Jefferson, KY",152500,18342
14000US21111012104,"Census Tract 121.04, Jefferson, KY",104400,8810
14000US21111012105,"Census Tract 121.05, Jefferson, KY",149900,15560
14000US21111012107,"Census Tract 121.07, Jefferson, KY",127000,13704
14000US21111012108,"Census Tract 121.08, Jefferson, KY",136700,12268
14000US21111012109,"Census Tract 121.09, Jefferson, KY",156300,7986
14000US21111012203,"Census Tract 122.03, Jefferson, KY",192100,11229
